Index,Term,Definition
127,albom,Album.
128,ale',Insult; bring disgrace upon; do something wrong.
129,ali,Giddyap--to cow or horse to speed it up.
130,alof,verb. to beckon; to signal; to summon by signs; to call by signs; to wave.
131,amama,Remnant of chewed betel nut.
132,amama,Play up to; brown-nose.
133,amamang,Lower lip.
134,amantieni,Embrace each other; shake hands; hold hands.
135,amme,"Cud; chewing tobacco; remnant of betel nut or chewing tobacco. Chew betel nut--for someone, usually a toothless person."
136,amsong,Baby clam that is edible.
137,an,"Abbreviated form for yanggen, anggen."
138,an-,Leftover of (something).
139,anagong,A very small hut.
140,anai,When (subordinator).
141,anai maolilek,Just right; perfect fit.
142,anbasihu,Empty container.
143,ande' ,Show off; showy; gaudy.
144,andi'i,Flirt with; show off to. 
145,anggen,If; when (usually used to connect clauses or phrases).
146,anineng,Shadow; seclusion.
147,ankånno',Garbage; left over food.
148,anlasgue,"noun. wood shaving; a thin slice pared off with a knife, plane, blade, etc."
149,anmaso'on,Scar; weal.
150,annok,Exposed; can be seen with the naked eyes; apparent; come into sight; manifest.
151,ansupiyu,"noun. wood shaving; a thin slice pared off with a knife, plane, blade, etc."
152,antupa,Debris; rubbish; scrap.
153,aodensia,Audience.
154,aoditoriu,Auditorium.
155,aoditot,Auditor; accountant.
156,aomenta,Expand; enlarge; extend; increase; broaden; widen; thicken; amplify; magnify; augment; dilate.
157,aomenta,Aggravate; intensify.
158,aomentu,Addition.
159,aosiliu,Aid; help; assist; give support.
160,aotomobit,Automobile.
161,aotoridat,Authority; right to command; sovereignty; jurisdiction.
162,aotorisa,Authorize; permit; empower; give authority to; license; commission.
163,aotorisasion,Authorization
164,apa,Place hand on the shoulder of someone; put arm around the shoulder of another person while strolling or standing.
165,apaniti,Box; fight with each other.
166,apannak,Clash; strike violently; together; spank.
167,apåtte,Divide; share; split; evenly.
168,apåtte,Partake; take part; share in common with others.
169,apåyuni,Get used to; be acquainted with; know well; accustom; be accustomed; become accustomed.
170,aplacha',Soiled; dirty.
171,aplacha',Impure; unclean; dirty; squalid; foul.
172,apo',int. verb. to lean against something; rest in a recumbent position; lean the head back.
173,apo'i,Recline; rest; repose.
174,applacha',Dirty; unclean; dirt; impure; impurity.
175,appleng,sprained; dislocate; twisted muscle or bone
176,appleng,Slang; markedly colloquial language; nonsense; incoherent speech.
177,appling,Disunited; at variance.
178,apsom,Type of plant--desmodium triflorum or oxalis corniculata.
179,apson,Sour.
180,apula',To take off for each other.
181,apula'i,Take off for each other; remove for each other; untie for each other; translate for each other.
182,apula'i,Struggle; labor hard; strive earnestly.
183,arak,Liquor; distilled liquor made from fermented coconut sap.
184,as,article; non-focus marking personal article.
185,asagua,verb. to wed; to marry; to get married.
186,asagua,noun. pouse; husband; wife; mate.
187,asaguan måga'låhi,First lady
188,asaguani,Band together against; run together. (Rota)
189,Asan,Village in central Guam. Åssan.
190,asana,Trick; cunning; craft; deceit; lie; swindle.
191,asga',"Spark-producer; that which produces a spark, such as flint, wheel on cigarett lighter, match head and carborundum; flint; match head."
192,asga',Sulphur.
193,asga'i,Sulpherate; smoke with brimstone; bleach with sulphur; impregnate with sulphur.
194,asiga,noun. salt (culinary)
195,aso',Tilted; leaning; bent; bend over; lean against.
196,aso',Bend; bow the body.
197,asodda',Meet with; fall in with.
198,asostieni,Embrace each other; support each other.
199,asta,Until; to; toward; up to; preposition word (usually used for past time).
200,asta ki,Until; if--usually used to connect prases or clauses; when. 
201,asta ngai'an,Until when; when.
202,astaimanu,Contracted form for håfa taimanu.
203,asufa',Collide; clash; bump into.
204,asupak,"Nuisance; one who visits others too often, thus making a nuisance of himself; a neighbor or friend who borrows things or eats other's food too often. Too forward in manners."
205,atåga',Cut each other.
206,atagga',"Reddish (color), as when one blushes; flushing; complexion of a person when sun-burned."
207,ataktak,adjective. stubborn; slow-witted; feather-brained; forgetful; unmindful; naughty; unheedful; disobedient.
208,atalak,Stare; open eye wide; act of staring; a fixed look.
209,atalaki,Scowl; look at menacingly; to give a dirty look.
210,atan,verb. to look; glance; perceive.
211,atan fihu,Stare; look sharply.
212,atan ha',Look (interjection); see there (interjection).
213,atan seguet,Look secretly.
214,atan un bånda,Squinting.
215,atånon,adj. handsome; good-looking; pretty; appearance.
216,atayo',Small of the back; portion of the back just above the hips.
217,atdao,noun. sun (astronomy)
218,atdet,Severe; strict; serious; austere; rigorous; strenuous; rigid; stong (spirit); robust.
219,atgon,One of group.
220,atgon,Particular; some.
221,atmangao,Spotted sea crab.
222,atok,Conceal; hide-inperative form.
223,atot,Filipino (slang). (Guam)
224,atot,Type of fish--petroscirtes mitratus (Family blenniidae). Stays in fresh water mud or swampy area.
225,atotpe,Collide; clash; bump into; meet head on.
226,attikulon hinengge,Article of faith.
227,attikulu,Article; item.
228,atto',Hide oneself.
229,atugan,Band together; form a group in order to catch something such as an animal or person.
230,atulai,noun. Type of fish--trachurops crumenophthalmus. Big eye scad (small).
231,atulaika,Interchange; exchange; in lieu of.
232,atungo',verb. to acquaint; apprise; know about; to date; to be in a relationship.
233,atungo',noun. Friend; pall partner; acquaintance.
234,aya,Match; fit; suit; appropriate; resembling; equal.
235,ayao,Borrow; opposite of lend.
236,ayek,Choose; select; pick out.
237,ayi,Cause to lean; lean; incline.
238,ayu,That; those; which (demonstrative).
239,ayu guatu,Over there--away from the speaker and the addressee.
240,ayu ha',That's all; that's it; all there is--the thing far from the addressee and speaker.
241,ayu na,That is why (something is done); that is the reason--talking about a third person or persons.
242,ayu na tiempo,Era; at that time.
243,ayu nai,That is where; that is when; that is the time or place--away from speaker and addressee.
244,ayuyu,"noun. Type of crab--birgus latro, linneus. Coconut crab; robber crab--generally found in Micronesia."
245,aña,Beat up; overpower; punish; harm; hurt; injure.
246,añadi,Increase; add to.
247,å,A--letter
248,å'å',verb. to open one's mouth wide; to gape.
249,å'ef,Torch--made from the dried shoot of the coconut tree.
250,å'fe,Sling; bandage for supporting an injured arm. To put in a sling.
251,å'guyon,Changeable; variable; fickle; inconstant.
252,å'ha,To expose to the sun.
253,å'pågon,Go out; damp; expire.
254,å'paka',White; light-colored skin.
255,å'paka' chåda',noun. Egg white.
256,å'paka'ñaihon,Whitish.
257,å'tamos,Imbecile; idiotic.
258,å'ñao,Overpower; defeat; vanquish; overwhelm.
259,åbåhu,Clear land--by felling all the trees and bushes; tear a house down; take down everything
260,åbåka,Type of plant--musa textilis (Abacá). Manila hemp; rope.
261,åbalansa,Balance--by making two sides of scale equal.
262,åbaniku,Fan (Japanese style); folding fan.
263,åbaniku,Fly-swatter
264,åbansa,Bear out; stick with something out of obligation even though it is very disagreeable.
265,åbansa,Advance; go forward.
266,åbanse,Advance pay; payment in advance.
267,åbas,Type of plant--psidium guavaja (guava)
268,åbeha,"noun. A bee, honeybee or bumblebee."
269,åbettura,Aperture; opening; slit; hole.
270,åbia,To provide; to provision; to sustain.
271,åbiba,Encourage; give encouragement; inspire; incite.
272,åbichuelas,Type of plant--phaseolus vulgaris (French beans).
273,åbietto,adjective. open (not closed); unfastened; ajar.
274,åbilidat,Ability; capacity.
275,åbirigua,Interrogate; question; ask.
276,åbiriguadot,Interrogator; examiner; prober; investigator.
277,åbisa,Advise; notify; alarm--give; warning--give; inform.
278,åbisu,Alarm; warning sound for notifying of danger; notice of danger; danger signal
279,åbit,Skillful (especially in small work).
280,åbitu,Garment; habit.
281,åbiu,Support; help; supply. Stronger in meaning than ayuda.
282,åbiu,Livelihood; sustenance; subsistence.
283,åbona,Side with; take sides; as to conceal the fault of the one being favored; back someone; support someone.
284,åbona,Pay; purchase; buy.
285,åbonu,noun. fertilizer; manure
286,åbråsa,Encompass; cover a certain area
287,åbråsa,Unit of measurement from fingertip of ourstretched arm to opposite shoulder.
288,åbråsu,Hug (by having arms meet together); enfold in the arms; encircled in someone's arms. (Rota)
289,åbrebiasion,Abbreviation
290,åbribiet,Abbreviate
291,åbrilåta,Can opener
292,Åbrit,noun. April (month).
293,åbsuetbe,To declare free; to release; to pronounce not guilty; to acquit; to absolve.
294,åbubon papago',Physalia; Portuguese Man of War
295,åbubu,Baloon.
296,åbubu,Type of plant--stictocardia tiliifolia (Crimson Morning Glory).
297,åbuchuelas,Type of plant--phaseolus vulgaris (French beans).
298,åbugådu,Lawyer; attorney; counselor; prosecutor; defender.
299,åbundansia,Abundance; profusion; plenty; opulence; overflow.
300,åbundånte,Abundant; plentiful; opulent.
301,åburidu,Ruckus; disturbance; racket; fuss; riot; confused--in mind.
302,åbusu,Abuse; maltreatment; ill-treatment; outrage; ill-use.
303,åbuttao,Piled up; ammased; hoarded.
304,åcha,Ax.
305,åchahet,Peer.
306,åchai,Chin.
307,åchaigua,Similar; alike; akin; analogous; parallel; homogeneous; uniform; resemble; equal; likeness.
308,åchåka,Blame; reproach; hold responsible.
309,åchåki,Trouble; pester; problem; incident.
310,åchang,Lower class in older Chamorro society.
311,åchetge,Wink; blink.
312,åchiak,Gecko; small lizard (lives in houses).
313,åchibao,Troublemaker; having a bad record.
314,åchigo',Close eyes; shut eyelids deliberately.
315,åchita,Hatchet; pickax; mattock.
316,åcho',Rock; stone; pebble.
317,åcho' åtupat,Sling stone.
318,åcho' dågon håya,Type of coral; fire coral; millepora. Causes burning sensation if it touches bare skin.
319,åcho' mulinu,Millstone; grinding stone.
320,åcho' ni mibåle,Gemstone; precious stone.
321,åcho' puko',Fishing stone.
322,åcho' tåsi,Coral; generic term for any kind of hard coral.
323,åcho' ñañak,Coral.
324,åchon,Torch.
325,åchoti,"Type of plant--bixa orellana (Anatto);  a small tree bearing red prickly capsules containing seeds which are used for coloring rice, known as hineksa' agaga'."
326,åchoti,Working middle class of pre-Spanish Chamorro society.
327,ådåba,Padlock.
328,ådai,Friend.
329,ådai,For pete's sake (interjection); for crying out loud (interjection); for goodness sake (interjection). Also an expresssion showing politeness in addressing a friend of the opposite sex of the same age group.
330,ådamelong,Round; circular; spherical; globular; oval.
331,ådanggua',Step over; jump over. (Rota)
332,ådåpta,Adopt; select; adapt; adjust; accommodate.
333,åddak,Knock; rap; strike with a quick sharp blow.
334,ådetfa,Type of flower-oleander.
335,ådiktao,Addict.
336,ådilanta,Improve; progress; advance; ameliorate.
337,ådilanta,Advance--imperative; onward--imperative; go forward--imperative.
338,ådilantao,Advanced; progressing; improving; improved; precocious; brash.
339,ådilanto,Improvement; progress; advancement; advantage.
340,ådimas,Rather than; apart from that; moreover; besides.
341,ådios,Good-bye; farewell.
342,ådobu,"Type of food, meat seasoned with vinegar, soy sauce, garlic, and onion."
343,ådonse,Stack up; pile on top of each other.
344,ådopta,Adopt; select.
345,ådora,Adore; worship; idolize; adorate.
346,ådorasion,Adoration; worship.
347,ådotgan,Hole; tunnel; a hole through something.
348,ådotgan,Traverse; run through; go through.
349,ådotna,Beautify; adorn; decorate--with ornaments; decoration.
350,ådotnu,Ornament; adornment; embellisment.
351,ådotta,Adopt; take as ones own child.
352,ådottera,Adulterous (woman); adulteress; a womoan who commits adultery.
353,ådotteru,Adulterous (man); adulterer; one who commits adultery.
354,åduana,Taxes; revenue.
355,åduana,Customhouse.
356,åduanayon,Taxable; subject to revenue.
357,åduaneru,Revenue officer.
358,ådubao,Pot roast; roast.
359,ådulisensia,Adolescence.
360,ådumidide',A little bit (at a time); gradual; by degrees.
361,ådutteria,Adultery.
362,åfabilidat,Courtesy; friendliness; pleasantness.
363,åfabot,In favor of.
364,åfamao,Famous; distinguished.
365,åfan-,"Reciprocal marker, plural. Combined form of a- plus fan-. Used in direct address to a group."
366,åfao,Fog; mist; haze. (Rota)
367,åfatigao,Fatigue; weariness; comatose; condition just preceding death.
368,åfañe'los,Comrades; brotherhood; fellowmen; friends--form of direct address.
369,åfekta,Affect; involve; implicate in guilt.
370,åfgue,Add lime to betel nut mixture.
371,åfitma,Affirm; allege; assert.
372,åflagu,Groin; lower part of the abdomen.
373,åflitu,Fry.
374,åfloha,Loosen; slacken.
375,åfok,Lime; birdlime; limestone (soft); quicklime.
376,åfottunao,Fortunate; lucky.
377,åfte,To roof; cover with roof; install a roof.
378,åfuera,Keep out.
379,åfuetsao,Obligation; required
380,åfuki,Put lime--on betel nut.
381,åfula',Type of fish--family dasyatidae. Manta ray; sting ray; leopard ray; skate.
382,åfulu,Hem lining of skirt; cuff--of shirt sleeve.
383,åfuluyi,Wrap in; to line a garment; to put in a hem.
384,åfuyot,"Sandwich in; wrap up; infold; cdover by winding around or folding; roll up; make ball--of something by pressing palms of hands together, as in making a riceball, snowball, etc."
385,åga,"Type of bird--corus kubaryi; Marianas crow, all black."
386,åga'ga',Neck.
387,ågaliya,Stretcher; carrying stretcher for sick person.
388,ågaliya,Type of plant--ricinus communis. Castor bean.
389,ågang,Call (someone); beckon; summon.
390,ågangi,Call; send for; invite.
391,ågangñaihon,Announce; declare; beckon; gossip.
392,ågangñaihon,Publish.
393,ågara,Covet; grab up; claim another's property.
394,ågasi,Type of plant--cassytha filiformis. Paracite plant.
395,Ågat,Village in Central Guam. Hågat.
396,ågate'lang,"Type of plant--eugenia palumbis, hardwood tree."
397,Ågaña,Capital of Guam. Hågatña.
398,Ågaña Heights,Village in Central Guam. Tutuhan.
399,ågila,noun. eagle; hawk.
400,ågoddai,Inflame; excite; fire with passion.
401,ågoddai,Inflamed; excited; incensed.
402,ågon,"noun. staple food, such as rice, taro, yam, etc. starchy food; starch; source of carbohydrates.

Alternate forms: åggon"
403,ågonias,noun. agony; pangs of death; dying moments; death throes; moments before death.
404,Ågosto,August
405,ågradapble,Agreeable; pleasing; obliging.
406,ågradesi,Appreciate; value; cherish; prize; treasure.
407,ågradesidu,Receivable.
408,ågradesimiento,Gratitude; thanks; reward.
409,ågramadera,Brake; wagon brake.
410,ågramensora,Surveyor (female); land surveyor.
411,ågramensot,Surveyor.
412,Ågrihan,"Name of an island in the northern part of the Marianas Islands, the sixth island north of Saipan. Ågrigan."
413,ågrikuttura,Agriculture.
414,ågua,Type of fish--chanos chanos (Family chanidae). Milkfishes.
415,ågua,Water--used only in liturgical language.
416,ågua bentita,Holy water.
417,åguada,Water supply.
418,åguaguat,"adjective. naughty, mischievous, stubborn, perverse, obstinate, pertinacious, dogged."
419,åguaguati,Quarrel; disagree.
420,åguaguati,Struggle; strive hard; labor earnestly.
421,åguahnon,Become watery--from a cream base.
422,åguanon,Become watery--from a cream base.
423,åguanon,Shallow lake; lagoon.
424,åguanta,Endure; restrain oneself; resist; aggravate--esp. wound; bear.
425,åguas,Type of fish--neomyxus chaptalii (Family mugilidae). Baby mullet.
426,åguas,Gill--of fish.
427,åguayente,Liquor; brandy; hard liquor; a local distilled liquor made from fermented fruits.
428,åguet,Throw; cast; fling.
429,åguhi,Ghost crab.
430,Åguigan,Second island south of Saipan. Åguihan.
431,Åguihan,Second island south of Saipan. Åguigan.
432,ågululumi,Band together against; run together; gang up.
433,ågumento,Argument.
434,ågupa',Tomorrow.
435,ågupa'ña,Day after tomorrow.
436,åhe',No---negative reply to yes-no question.
437,åhensia,Agency.
438,åhente,Agent.
439,åhgaga,Type of plant--premna obtusifolia. A small tree. Hardwood--used for building materials.
440,åhonholi,Type of plant--sesamum orientale. Sesame seed; sesame.
441,åhos,Type of plant--allium sativum. Garlic.
442,åhu,"Kind of food, coconut dumpling. A mixture of young coconut meat, water, starch, sugar cooked by boiling."
443,åhusta,Adjust.
444,åhustao,Adequate.
445,åhustao,Exactly; fitting snugly. 
446,åka',Bite; nip; bite into; grip with teeth; clench--with teeth.
447,åka'on,"Type of tree--pandanus, different from påhong and kafo', rare type of pandanus on Guam. Screw pine."
448,åkåbosse,"Twenty-one points in tres siete (card game), the winning score."
449,åkademia,Academy; preparatory school; seminary; school for instruction in a particular science or art.
450,åkademiku,Academic; scholastic.
451,åkadidok,Sharp point; fine point; keen edge.
452,åkado',Nipple teat; mammilla. (Rota)
453,åkakam,Molar tooth
454,åkaleha',Snail; large land snail in Guam. African snail.
455,åkaleng,Dislocated; twisted; deformed.
456,åkaontan,Accountant.
457,åkaparas,Type of plant--capparis cordifolia. Wild caper. A weed that grows on rocky ground near the ocean.
458,åkapauku,Type of plant - Cassia alata. Candle bush. A Mexican shrub.
459,åkåsu,If; in case.
460,åkeyo',Plait. Hair that is coiled on top of the head; braid; tress; hair bun.
461,åkgak,Type of tree--pandanus. Screw pine--its leaves are famous for weaving.
462,åkidi,It takes to much time; so much time passes.
463,åkihom,Clench; grip; grip tightly with hand; hold or grasp firmly.
464,åkka',Bite; nip; bite into; grip with teeth; clench--with teeth.
465,åklåra,Declare; clarify.
466,åkli'e',Sharp sighted; perceptive--of physical objects; a good watchman or lookout.
467,åkompåra,Compare; make a comparison; contrast.
468,åkompårasion,Comparison.
469,åkompaña,Accompany; escort.
470,åkompañamento,Convoy; escort; accompaniment.
471,åkomprende,Agree; understand one another; reach an understanding; reach an agreement.
472,åkonseha,Advise; counsel; warn; appraise; inform.
473,åkonseheru,Counselor; adviser; councilman.
474,åkostombra,Become accustomed; habituate; make familiar by use.
475,åkotdion,Accordion
476,åkredot,Creditor (male).
477,åksepta,Accept; receive; take.
478,åkseptasion,Acceptance; accentancy.
479,åksidente,Accident; mishap; by chance.
480,åksion,Action; deed; behavior.
481,åkson,Type of plant--pandanus fragrans. Or pandanus gumensis. Pandanus.
482,åktibu,Active; alert; vivacious; having power of quick motion.
483,åkto,Fact; actual; reality; exact; act-pertaining to legeslation; actuality.
484,åkudi,Assist; help; aid.
485,åkusa,Accuse; incriminate; chage with; indict; lodge a complaint.
486,åkusadot,Accuser; plaintiff; demandant.
487,åkusao,Accused; blamed; called to account.
488,åla,Nest--for brooding hen.
489,åla,Basket--usually made from coconut leaves; sack; bag. When doubled is called ålan toktok.
490,ålaba,Side with; take sides; as to protect; defend; conceal.
491,ålaba,Praise; laud; commend.
492,ålabadu,Embrace.
493,ålabastro,Alabaster
494,åladu,Plow.
495,åladuyon,Arable; fit for the plow.
496,ålafris,Carpenter's plane for cutting grooves for interlocking pieces of wood.
497,ålagatapeha',Avocado.
498,ålageta,Type of plant--persea americana. Avocado.
499,ålåguan,"Kind of food, rice soup. A mixture of right coconut milk, rice, water, cooked by boiling. Rice soup."
500,ålahå,Ornament; jewelry.
501,ålahås,Jewelry; ornament; jewel.
502,ålaihai tåsi,Type of plant--ipomoea tuba. Morning glory.
503,ålaisen,Miss (each other); fail to meet with someone; fail to fall in with someone.
504,ålakran,"Type of insect, a scorpion like insect with three pairs of legs and pincers. Scorpion."
505,ålåla',Greediness; desire.
506,Ålamågan,Fouth island north of Saipan
507,ålambriyu,Type of plant--lygodium scandens.
508,ålamle,noun. wire; cable; metallic thread.
509,ålamlen manunu,Gridiron; grill--for cooking over open fire.
510,ålamlen tituka',Barbed wire.
511,ålangilang,Type of tree--canagium odoratum. The flowers are used in the purfume ilangilang.
512,ålansa,Displeasure.
513,ålapat,Parallel; side-by-side.
514,ålapika,Rattle; clack. Noise resulting from clacking two objects together. 
515,ålatga,Give away exces; fill up beyond its capacity; overflow.
516,ålatgayi,Give out; play out.
517,ålayi,Carry (in woven basket); put (something) into a woven basket. To carry something in a skirt held up by the front.
518,ålegria,Merriment; glee; rejoicing.
519,Åleman,German.
520,Ålemania,Germany.
521,ålenken,"Capsize; stumble; turn over; trip in walking, running, etc."
522,ålentos,Energy; power; strength; force; might.
523,åles,Swallow; gulp down (without masticating/chewing).
524,ålesna,Ice pick; awl.
525,åletses,Type of fish--spratelloides delicatulus (Family dussumieridae). Round herrings.
526,åliansa,Alliance; league; coalition; confederacy; federation.
527,åliba,Ease; relieve; alleviate; facilitate.
528,ålibia,Ease; relieve; alleviate; facilitate.
529,ålibiao,"Relieved; freed from pain, suffering, or grief."
530,ålibiu,Relief; freed from pain; suffering or grief.
531,ålientos,Breath.
532,åligao,Search for; seek; be in quest of; try to find.
533,ålikates,Pliers.
534,ålileng,noun. Cateye shell.
535,ålimasak,Crustacean; crayfish; crawfish.
536,ålimasat,Type of fish.
537,ålimenta,Nutrition; energy.
538,ålimenta,Feed; nourish; support.
539,ålimento,Energy; power; strength; force; might.
540,ålimentosu,Nutritious.
541,ålipika,Last bell for mass.
542,ålistu,Brisk; alert; quick.
543,ålitos,Earring.
544,ålitos,Lobe; ear lobe.
545,ålitos ababang,Cocoon.
546,åliña,Take care of; take pride in.
547,åliñao,Tidy; neat.
548,ålok,"Say--imperitive, also used with hu-pronouns. State."
549,ålom,Type of plant--melanolepis multiglandulosa. A small native euphorbiaceous tree.
550,ålon laiguan,Type of fish--family sphyraenidae. Barracuda resembling a large mullet.
551,ålon le'u,"Type of fish--saurida gracilis (Synodontidae). Similar to a barracuda, but different family."
552,ålosuttimo,At the very end; eventually; ultimately.
553,ålu,noun. Type of fish--family sphyraenidae; Barracuda.
554,åluda,Type of fish--cirrihitus pinnulatus. Stocky hawkfish.
555,ålugåt di,Instead of. (Rota)
556,ålula,Hurry; swift.
557,ålulayi,Expedite; hurry; hasten.
558,åluminom,Aluminum.
559,ålunan,noun. A pillow.
560,ålunan håyu,"Wooden pillow, made of a short piece of wood."
561,ålutong,Granite; type of volcanic rock; basalt rock.
562,åma,Mistress; owner; boss.
563,åmaka,Hammock; swing; hanging bed or couch.
564,åmang,Lower lip.
565,åmånte,Lovely; lovable.
566,åmåntes,Lovers.
567,åmånu,Where; which.
568,åmåpble,Friendly; kind; amiable.
