0,1,2,3,4,5
 Ha alatgayi i guaka ni tali-ña. ,He made the cow's rope longer,,,,
 Adahi na un alenken gi hemhom. ,Be careful so you don't stumble  in the dark,,,,
 Ha alibia yo' ni kinatga-ku. ,He relieved me of my load,,,,
 Atrasao matto i alibiu. ,The relief came late,,,,
 I nana ha aligao i patgon-ña. ,The mother searched for her child,,,,
 Tai alimenta sa' ti chumocho kasi ki sinko dias. ,She is  suffering from malnutrition because she has not eaten for almost  five days,,,,
 Ha aliñañayi gue'. ,She takes pride in herself,,,,
 Ma'alipika i misa. ,The last bell for mass has rung,,,,
 Ha alof yo'. ,He beckoned to me,,,,
" Alok, ""hafa dai"" gi Amerikanu. ","Say ""hello"" to the American",,,,
 Hafa na un alok tailayi gue'? ,Why did you say he is bad?,,,,
 Alosuttimo siempre mumalate' hao yanggen sigi ha' hao umeskuela.  ,"Eventually, you will be smart if you keep on attending school",,,,
 Alugat di un maigo' maolek-ña na un fanestudia. ,"Instead of you  sleeping, it is better for you to study",,,,
 Alula para i eskuela. ,Hurry to the school,,,,
 Inalula yo' asta i gima'-mami. ,I hurried to our house,,,,
 Alulayi ya un funhayan. ,Hurry and be finished,,,,
 Ha amamama si nana-ña para u nina'i ni malago'-ña. ,He is  playing up to his mother so that she will give him what he wants,,,,
 Fanamantieni kannai. ,Hold hands,,,,
 Amanu nai gaige si Juan? ,Where is Juan?,,,,
 Ha amara i gayu. ,He tied the knife to the cock's foot,,,,
 Maila' ya ta ambos gi che'cho'. ,Come and we will share the work,,,,
 Ha aminasa yo' ni papet kotte. ,He threatened me with court  papers,,,,
 Ha amontona i kamuti. ,He piled up the sweet potatoes,,,,
 Amtao na makinista gue'. ,He is an experienced machinist,,,,
 Ha amte yo' si Daniel. ,Daniel treated my wound,,,,
 Hu na'amurao si Maria. ,I caused Maria to fall in love with me,,,,
 Ansopbla. ,Leftover of what's left,,,,
 Anbali. ,The dust or the leftover from the sweeping,,,,
 Ansupiyu. ,Wood shavings,,,,
 Ankanno'. ,"Slop, leftover food",,,,
" An humanao hao agupa', adahi na ti un agang si Maria. ","If you  leave tomorrow, be sure to call Maria",,,,
 Anai matto yo' Hawaii ha na'manman yo'. ,When I came to Hawaii it  surprised me,,,,
 Humanao yo' anai matto gue'. ,I left when he came,,,,
 Anakko' tataotao-ña lao dikike' patas-ña. ,"He has a long body,  but he has small feet",,,,
 Ancho hinasso-ña si Juan. ,John's thoughts are deep,,,,
 Ha andi'i yo' si Thomas. ,Thomas flirted with me,,,,
 Ta ankas gi atkilon Maria. ,We will free-load at Maria's rented  place,,,,
 Ma ankla i batko. ,They anchored the ship,,,,
 Tinake' i ankla. ,The anchor is rusty,,,,
 Annok iya Guam ginen Rota yanggen malinao i tasi. ,Guam can be  seen from Rota when the sea is calm,,,,
 Esta ansianu gue' guenao na cho'cho'. ,He is already experienced  in that work,,,,
 Chumocho yo' pot antohu. ,I eat if I feel like it,,,,
 I famagu'on ma antulayi i bihu. ,The children mocked the old man,,,,
 Ha añadi dos na niyok gi monton. ,He added two coconuts to the  pile,,,,
 I anggariya ma'usa gi malangu. ,The stretcher is used for the  patient,,,,
 Ma'anggariya i malangu asta i espitat. ,The patient was carried  on the stretcher to the hospital,,,,
 Anggen humanao yo' bai hu espiha hao. ,When I leave I will look  for you,,,,
 Ti hu angokko hao. ,I don't trust you,,,,
 Manggagao i atministradot aosiliu para Luta. ,The administrator  requested aid for Rota,,,,
 Hu aosiliu i peskadot gumoddiyi ni boti-ña gi pantalan. ,I  helped the fisherman tie his boat to the dock,,,,
 Hu apa i amigu-hu. ,I put my arm around the shoulder of my friend,,,,
 Hu po'lo i kinatga gi apaga-hu. ,I placed the things that were to  be carried on my shoulders,,,,
 Hu apagayi i kahon. ,I carried the box on my shoulder,,,,
 Este na chupa a'pagon. ,This cigarette goes out often,,,,
 Umapannak i dos. ,The two spanked each other,,,,
 Ha apasi yo' ni che'cho'-hu. ,He paid me for my work,,,,
 Ha na'apatte ham ni guinaha-ña. ,He shared some of his  possessions with us,,,,
 Hu apayuni drumaiba i kareta-hu. ,I am used to driving my car,,,,
 Ha apedelok i magagu. ,He crumpled the clothes,,,,
 Apenas yo' matto gi gima'-mu. ,I seldom go to your house,,,,
 Ma aplakao ni sendalu. ,They were attacked by the soldiers,,,,
 Ma aplasu hao gi huegu. ,They applauded you at the game,,,,
 Mana'i gue' aplasu pot i maolek na che'cho'-ña. ,He was  applauded for his good work,,,,
 Hu aplika i tiningo'-hu. ,I applied my knowledge,,,,
 Ha aplika i che'cho'. ,He applied for the work,,,,
 Apmam na tiempo. ,Since olden times,,,,
 Hu aposta i salape'-hu. ,I bet my money,,,,
 Mapedde gue' ni aposta. ,He lost the bet,,,,
 Apoyu i tapbla ni acho'. ,Support the wood with the rock,,,,
 Ha na'appan i hineksa'. ,She caused the water in the rice to dry  up,,,,
 Appleng kuentos-mu. ,Your speech is incoherent,,,,
 Aprebao i che'cho'-mu. ,Your work is approved,,,,
 Ha aprendes i litratu gi liga. ,He fastened the picture to the  wall,,,,
 Apreta manungo' ya un funhayan umeskuela. ,Hurry your learning  and you will be finished with school,,,,
 Mampos si Antonio apretadot na taotao. ,Tony is a very hard  driver,,,,
 Apretao na cho'cho' enao. ,That work was hastily done,,,,
 Mampos apretat este na cho'cho'. ,This was a rush job (hasty  work),,,,
 Hu aprobecha i kareta-ña i che'lu-hu. ,I used my brother's car,,,,
 Hu aprueba i fino'-mu. ,I agreed with your statement,,,,
 Si tata-hu ha aprueba i che'cho'-hu. ,My father approved my work,,,,
 Ma'apson i kahet. ,The orange is sour,,,,
 Ha'anen apstinensia. ,A fast day,,,,
 Hu apudera yo' ni siya. ,I'm claiming the chair,,,,
 Apula' na dos sapatos. ,You take off each other's shoes,,,,
 I ma'estro ha apunta yo' para hu kanta gi dimimoria. ,The teacher  appointed me to sing at the program,,,,
 Ta aranka i banko siha gi eskuela anai ta balle i satge. ,We  moved the benches at school when we swept the floor,,,,
 Hu na'i aras si Maria. ,I show favoritism to Maria,,,,
 I pakyo ha arasa todu i tinanom. ,The typhoon razed all of the  plants,,,,
 Hu arastra i katga-ku asta i gima'. ,I dragged my load to the  house,,,,
 Aridedot taotao gi plasan batkon aire. ,The airport was  surrounded by people,,,,
 I arienda guaguan. ,The rental is expensive,,,,
 Si Jose ti ha ariesga gue' humuyong gi tasi. ,Jose did not dare  to go into the ocean,,,,
 Umarima yo' gi hoyu. ,I bring myself near the hole,,,,
 Arima gi fi'on i matai. ,Bring yourself close to the corpse,,,,
 Gaige as Maria i lepblo-ku. ,My book is at Maria's,,,,
 Guinaiya si Juan as Maria. ,It is Juan that Maria loves,,,,
 I boti inasa ni manglo'. ,The boat was blown away by the wind,,,,
 Hu asada i tano' ni asada. ,I plowed the land with a plow,,,,
 Hu li'e' i dos asagua. ,I saw the two married ones,,,,
 Asaina na aguaguat patgon hao. ,"Gosh, you are a naughty child",,,,
 Asi komu un cho'gue este maolek. ,"If you do it like this, it's  good",,,,
 Hu asi'i i palao'an ni bida-ña. ,I forgave the woman for what  she did,,,,
 Asipudera ta manana lao ta saga ha' ya ta na'funhayan i  che'cho'-ta. ,Even if it takes till morning (but) we'll stay and  finish our work,,,,
 Hu na'asodda' i dos taotao gi chalan. ,I let the two people meet  on the road,,,,
 Asolas humahanao yo' para Guam. ,Occasionally I go to Guam for  business,,,,
 Asostieni na dos sa' en peddong. ,Hold each other before you fall,,,,
 Guaha assemble gi plasa. ,There was an assembly at the plaza,,,,
 Assohne i patgon. ,Lie down with the child,,,,
 Asson sa' yayas hao'. ,Lie down because you are tired,,,,
 Mata'chong yo' guihi asta i oran alas tres. ,I sat there until  three o'clock,,,,
 Ti siña i patgon umegga' telebision solu asta ki ha na'funhayan  i leksion-ña. ,The child can not watch television only until he  finishes his lesson,,,,
 Nangga asta ki humanao yo' para i eskuela. ,Wait until I go to  school,,,,
 Asta ngai'an hao magi ta'lo? ,(Until) when are you coming back  again?,,,,
 Ma guaguaddok ni asuela. ,They are digging with a gouge,,,,
 Maolek i asunto pot i tiempo. ,The report about the weather is  good,,,,
 Hafa na asunto na para un hanao? ,What is the reason for your  leaving?,,,,
 Umataga' i dos taotao. ,The two men cut each other,,,,
 Ha atalaki i patgon. ,He scowled at the child,,,,
 Hu atan hulo' ya momotmot uchan gi sabana. ,I looked up and there  was much rain on the mountain,,,,
 Ma'atani i litratu gi liga. ,The picture was nailed to the wall,,,,
" Despues di aksidente, atarantao ilu-ña. ","After the accident, he  was a little off in the head",,,,
 Ha atbeti hao na munga humanao. ,He advised you not to go,,,,
 Umatbietto i petta anai guinaife ni manglo'. ,The door was opened  when the wind blew it,,,,
 Meggai na atborotu guini na guma'. ,There is too much trouble in  this house,,,,
 Hu atende i fino' saina-hu. ,I pay attention to my parents' words,,,,
 Inatgimat ni bunita-ña. ,He was enamored of her beauty,,,,
 Atgon lugat. ,Some (particular) place,,,,
 Atgon na bes. ,Some times,,,,
 Atgoya i asagua-mu sa' mampos machalek. ,Tie your wife down  because she is too free,,,,
 Ha atilek yo' si nana. ,My mother pinched my ears,,,,
 I draiba ha atisa i finalagon i kareta. ,The driver increased the  speed of the car,,,,
 Atituyi hafa ilek saina-mu! ,Heed what your parents say!,,,,
 Ha atkila i gima'. ,He rented the house,,,,
 Atlibes i chinina-mu. ,Your shirt is inside-out,,,,
 Maila' ya ta atmi$nudu ya ta chule' i kareta. ,Come and we will  chip in and take the car,,,,
 Atmi$nudu fan na dos ya u libianu. ,Help one another and it will  be easy for you,,,,
 Ha atmiti na guiya chumule'. ,He admitted that he took it,,,,
 Para u matutuhon i atmoneda agupa'. ,The auction will begin  tomorrow,,,,
 Hu na'atok i salape'. ,I hid the money,,,,
 Hu atotga humanao asta i taddong tasi. ,I dared to go to the deep  ocean,,,,
 Umatotpe i dos kareta. ,The two cars collided,,,,
 Ha atototta i gima'. ,He put a cement floor in the house,,,,
 Umatparehu i dos kareta gi chalan. ,The two cars were parallel on  the road,,,,
 Baratu i guihan ya hu atraka. ,"The fish were on sale, and I  bought (many of them)",,,,
 Atsayon yo' gi painge. ,I was nauseated last night,,,,
 Atta i che'lu-hu gi espitat. ,My brother was discharged from the  hospital,,,,
 Mampos hao attamos gi che'cho'. ,You are very foolish at work,,,,
 Hu attan i lilok. ,I pounded the nail,,,,
 Maila' ya hu atte hamyo. ,Come and I'll play a trick on you,,,,
 Atto' sa' inaliligao hao as Juan. ,Hide because Juan is looking  for you,,,,
 Nihi ta atugani i mannok. ,Let's band together to catch the  chicken,,,,
 Hu na'aya i chinina-hu yan i katsunes-hu. ,I match my shirt with  my trousers,,,,
 Hu ayao i salape' as Pedro. ,I borrowed the money from Pedro,,,,
 Hu ayao gue' ni kareta. ,I borrowed the car from him,,,,
 Hu na'ayao gue' ni kareta. ,I lent the car to him,,,,
 Ayu na lahi. ,That man,,,,
 Ayu ha' lini'e'-mami na guihan. ,That was all the fish we saw,,,,
 Bula piligru gi tasi ayu na debidi un gof adahi hao. ,"There are  lots of dangers in the ocean, that is why you must be very careful",,,,
 Ayu nai pumasehu yo' para Saipan nai umasodda' hit. ,That was the  time we met when I toured Saipan,,,,
 Ayugue' i kafi-ña. ,There is his coffee,,,,
 Umayunu gue' gi tiempon kuaresma. ,He fasted during Lent,,,,
 Esta buma' i patgon. ,The child crawls already,,,,
 Ba'an yo' pa'go gi ega'an. ,I got up out of bed late this morning,,,,
 Ha fa' i bababa gue'. ,He is pretending to be a silly person,,,,
 Hu bagai yo' nu i tu'aya. ,I wrapped myself with a towel,,,,
 Umabaggai i dos. ,The two people fought each other,,,,
 Bai hu hatsa gue'. ,I will lift him,,,,
 Bai in e'mak gi tasi. ,We will swim in the ocean,,,,
 I bakeru muna'fanggigimen i guaka an pupuenge. ,The herdsman  gives water to the cows in the evening,,,,
 Bala' i mata-ña ya u fakmata. ,Open his eyes so he could wake up,,,,
 Hu bala' i paketi para bai hu li'e' hafa sanhalom-ña. ,I  unwrapped the package in order to find out what was in it,,,,
 Hu balaha meggai siha na kattan balaha. ,I shuffle many playing  cards,,,,
 Hu na'balansa i lapes gi gui'eng-hu. ,I balanced the pencil on my  nose,,,,
 Ha balas i aguaguat na patgon. ,He whipped the naughty child,,,,
 Malingu i balas. ,The whip is lost,,,,
 Familian balaskes si Juan. ,Juan is from the family that is small,,,,
 Hu tungo' fuma'tinas i balensiana. ,I know how to cook the  Spanish rice,,,,
 Agaga' kulot-ña i balensiana. ,The color of the Spanish rice is  red,,,,
 Ha balensiana i hineksa'. ,She cooked the rice Spanish style,,,,
 Hu baleng i mata-ña i amigu-hu anai mamaigo' gue'. ,I opened my  friend's eyes when he was sleeping,,,,
 Hu balle i satge nigap. ,I swept the floor yesterday,,,,
 Hu balua i presion i kareta-hu. ,I evaluated the price of my car,,,,
 Ha bandaras gue' ni tu'aya. ,He wrapped himself with a towel,,,,
 E'kat muna'kalamten i ma$netnot adeng-mu sa' u banna. ,Don't move  your injured leg so much because it might swell,,,,
 Si Juan Baotista. ,John the Baptist,,,,
 Ha barena i hayu. ,He bored into the wood,,,,
 I katpenteru ha baro i hayu. ,The carpenter drills the wood,,,,
 I baro malingu. ,The drill is lost,,,,
 I patgon basnak gi tronkon hayu. ,The child fell down from the  tree,,,,
 Basta. ,Stop (whatever you are doing),,,,
 Bastante nu hagu para un ayuda yo'. ,You are sufficient to help  me,,,,
 Hu batbas i flores. ,I trimmed the flowers,,,,
 Hu pacha i batbas-ña si tata-hu. ,I touched my father's beard,,,,
 Hu na'baya' i amigu-hu mangga. ,I flooded my friend with mangoes,,,,
 Binaya' yo' mangga. ,I'm satiated with mangoes,,,,
 Ma bela i matai gi painge. ,They held a wake for the dead person  last night,,,,
 Bula na taotao gi bela. ,There are lots of people at the wake,,,,
 Bumelemba i manglo' taftaf gi ega'an. ,The wind was blowing early  in the morning,,,,
 Bumelemba i kuttina gi bentana. ,The drapery was blowing at the  window,,,,
 Ha bende i tano'-ña pot sien pesos. ,He sold his land for one  hundred dollars,,,,
 I pale' ha bendisi i taotao siha. ,The priest blessed the people,,,,
 I palao'an ha bene' i labios-ña. ,The woman put lipstick on her  lips,,,,
 Guaha benefisiu pot i che'cho'-hu para i eskuela. ,There are some  benefits from my work for the school,,,,
 Bula na benefisiu siha manmasangan lao ti manmakumple. ,There are  lots of benefits mentioned but they are not accomplished,,,,
 Mabense i kontrariu. ,My opponent was defeated,,,,
 Bula bentaha para i taotao ni mitano'. ,There are lots of  advantages for a person with a lot of land,,,,
 I sasata ha bengbingi yo'. ,The bee buzzed around me,,,,
 Bunitu na beste. ,It is a beautiful decoration,,,,
 Ha beste i eskuela. ,She decorated the school,,,,
 Este i mina'tres biahi na hu agang hao. ,This is the third time I  called you,,,,
 Dos biahi. ,Two times,,,,
 I patgon ha biba i biyat. ,The child scattered the marbles,,,,
 Sumaga yo' gi bente bibenda na guma'. ,I stayed in a twenty-story  building,,,,
 Ya-hu sumaga gi yahululo' na bibenda. ,I like to stay on the  highest floor of a building,,,,
 Bibu i kareta-ña. ,His car is fast,,,,
 Ina binibu i fandanggo. ,The party was good,,,,
 Basta i binaba siha. ,Stop the foolishness,,,,
 Ina binadu este na pidason hayu. ,This piece of wood is not  straight,,,,
 Binaya' yo' ni hanom. ,I've had my fill of water,,,,
 Gai binibu si Rufino as Juan. ,Rufino was angered by Juan,,,,
 Bibinga i flores gi tronkon rosat. ,The rose bush is blooming,,,,
 Ha blankeha i katga-ña asta i halom kareta. ,He hurled his load  into the car,,,,
 Blanko nai gaige i gima'-hu. ,My house is out in the open,,,,
 Bocha yo' anai ha akka' yo' i sasata. ,I swelled up when the bee  stung me. Also &botcha,,,,
 Nihi ta bola. ,Let's play ball,,,,
 Kao un li'e' i bola gi Damenggo? ,Did you see the ball game on  Sunday?,,,,
 Bomban hanom. ,Water pump,,,,
 Si Manuel ha bomba i hanom gi halom tanke. ,Manuel pumps the  water out from the tank,,,,
 I bomba mayulang. ,The pump is broken,,,,
 Ma bomba Saipan gi tiempon gera. ,Saipan was bombarded during the  war,,,,
 Un bona i kareta-mu pot kuanto? ,How much did you buy the car  for?,,,,
 Si Taga' ha bo'ok i tronkon niyok. ,Taga pulled up the coconut  tree by the roots,,,,
 Mambosbos i sasata gi me'na-hu. ,The bees swarmed in front of me,,,,
 Bosbos i hanom gi grifu. ,The water spurted from the faucet,,,,
 Hu bosbusi mata-ña ni hanom. ,I spurted water in his eyes,,,,
 I sasata siha ma bosbusi yo'. ,The bees swarmed at me,,,,
 Hu bota si Se$not Guerrero. ,I voted for Mr. Guerrero,,,,
 Ma botleha i kandidatu gi miteng. ,They ridiculed the candidate  at the meeting,,,,
 Hu botsa i salape'. ,I pocketed the money,,,,
 Guaha maddok gi betsa-ku. ,There is a hole in my pocket,,,,
 Hu braseha i petta. ,I measured the door with arms outstretched,,,,
 Hu braseha i sentura-mu. ,I encircled your waist with my arms,,,,
 Nihi ta brinda si Mr. Pangelinan. ,Let's have a toast to Mr.  Pangelinan,,,,
 Buen echu na un ganna siha. ,Good for you for beating them,,,,
 Buen echu na matomba hao sa' hu abisa hao na munga malagu. ,"See,  you have fallen down because I warned you not to run",,,,
 Buenecho ya u hanao. ,It's better that he is gone,,,,
 Hu buetta yo' tatte gi hinanao-hu. ,I traveled back from my trip,,,,
 Bula i tasi. ,"High tide. Cf. &Lahyan, meggai",,,,
 I palao'an ha na'bulokbok i taotao. ,The woman stabbed the man,,,,
 Bumulontariu yo' manlaknos dies pesos. ,I volunteered to donate  ten dollars,,,,
 Hu li'e' burego' gi duranten selebrasion. ,I saw a clown during  the celebration,,,,
 Buruka i kareta-ña. ,His car is noisy,,,,
 Bumuruka gue'. ,He is noisy - he made noise,,,,
 Hafa buskabidada-mu? ,What are you doing?,,,,
 Si Antonio buskaplaito na taotao. ,Tony is a troublemaking person,,,,
 Basta bumuskaplaito. ,Stop looking for trouble,,,,
 Un buyada na guihan kinnene'-hu gi painge. ,I caught a lot of  fish last night,,,,
 Cha'-mu ume'essitan. ,You'd better not joke,,,,
 Cha'-miyu manhahanao sin guahu. ,You'd better not leave without  me,,,,
 Chacha'-mu umessitan. ,You'd better not joke,,,,
 Chachalani si Maria taimanu nai siña mama'salape'. ,Advise Maria  as to how to make money,,,,
 I palao'an ha chaflalak i aggak para godde. ,The woman twisted  (wove) the aggak leaves for tying,,,,
 Chaflek i mannok. ,The chicken quivered in dying,,,,
 Chago' iya Hawaii ginen Guam. ,Hawaii is far from Guam,,,,
 Hu chagua i guafi. ,I reduced the fire,,,,
 Machagua i manglo'. ,The wind died down,,,,
 Hu chalehgua' i fina'tinas-hu. ,I stirred my cooking,,,,
 Ha champa hao gi feria. ,He competed with you at the fair,,,,
 Hu champa hao nigap. ,I challenged you yesterday,,,,
 Cha'-mu pumapacha i paki. ,Don't touch the gun,,,,
 Cha'-mu humahanao gi gima'. ,Don't leave the house,,,,
 Bunitu chumanno si Antonio. ,Tony looked nice while walking  rapidly,,,,
 Mampos chansa na taotao. ,He jests a lot,,,,
 Hu chaochao i hanom gi halom i tanke. ,I shook the water inside  the tank,,,,
 Chaochao i tasi. ,The sea is rough,,,,
 Ha na'chaole i ga'lagu dadalak-ña anai hu agang i na'an-ña.  ,The dog wagged its tail when I called its name,,,,
 Cha'ot-hu i mangga. ,I'm allergic to mangoes,,,,
" Anai hu sangani na ma'a'agang gue' gi polisia, chapon ha'. ","When  I told him the police were calling him, he suddenly turned pale.  Also &chupon, chipon",,,,
 Hu chappak i kandalu gi petta. ,I detached the lock from the door,,,,
 Ni chasko ti sopbla despues di gipot. ,There wasn't a trace of  anything left after the party,,,,
 Chat ha hasso si Juan enao. ,Juan hardly ever thinks of that,,,,
 Un chatfinu'i i digeru. ,You cursed at the cheater,,,,
 Hu chatge i na'chalek na taotao. ,I laughed at the clown,,,,
 Chat ,plus guahu,. Nausea. Cf. &Chatguiya,,,
 Chatguiya i patgon. ,The child is not feeling well,,,,
 Chatguiya ham na dos. ,The two of us are not feeling well,,,,
 Manchatguiya siha. ,They are not feeling well,,,,
 Mampos yo' chathinasso pot hagu. ,I worried a lot about you,,,,
 Chatsaga mabira i boti. ,It is difficult to maneuver the boat,,,,
